(0.0, -0.00253)
(0.1, -0.00881)
(0.2, 0.00564)
(0.3, 0.00228)
(0.4, 0.00051)
(0.5, -0.01893)
(0.6, -0.01735)
(0.7, 0.0053)
(0.8, -0.00885)
(0.9, 0.01747)
(1.0, 0.00706)
(1.1, 0.01788)
(1.2, 0.01132)
(1.3, -0.01257)
(1.4, 0.00408)
(1.5, 0.00341)
(1.6, 0.00468)
(1.7, -0.03072)
(1.8, -0.00627)
(1.9, 0.00079)
(2.0, -0.00955)
(2.1, 0.00131)
(2.2, 0.01407)
(2.3, 0.0094)
(2.4, 0.00664)
(2.5, -0.0135)
(2.6, 0.00694)
(2.7, -0.00923)
(2.8, 0.01528)
(2.9, 0.00333)
(3.0, -0.00642)
(3.1, 0.00546)
(3.2, 0.0197)
(3.3, -0.0022)
(3.4, -0.02156)
(3.5, -0.01901)
(3.6, 0.0055)
(3.7, -0.00594)
(3.8, 0.00466)
(3.9, -0.00139)
(4.0, 0.01458)
(4.1, -0.00544)
(4.2, -0.00354)
(4.3, 0.00092)
(4.4, 0.00787)
(4.5, -0.00201)
(4.6, 0.00984)
(4.7, 0.0048)
(4.8, 0.00213)
(4.9, 0.00189)
(5.0, -0.01524)
(5.1, 0.00871)
(5.2, -0.00345)
(5.3, 0.00626)
(5.4, -0.00072)
(5.5, -0.02438)
(5.6, 0.0126)
(5.7, -0.00567)
(5.8, -0.00191)
(5.9, 0.00451)
(6.0, -0.00572)
(6.1, 0.00594)
(6.2, 0.00082)
(6.3, -0.00181)
(6.4, -0.00205)
(6.5, 0.00011)
(6.6, 0.00462)
(6.7, 0.01153)
(6.8, 0.02086)
(6.9, 0.01342)
(7.0, 0.00861)
(7.1, -0.01273)
(7.2, -0.0118)
(7.3, -0.0271)
(7.4, -0.01982)
(7.5, -0.00923)
(7.6, 0.00478)
(7.7, 0.00282)
(7.8, 0.00408)
(7.9, -0.01099)
(8.0, 0.01517)
(8.1, 0.00485)
(8.2, 0.01536)
(8.3, 0.00741)
(8.4, -0.00051)
(8.5, 0.02939)
(8.6, 0.01901)
(8.7, 0.00612)
(8.8, 0.02854)
(8.9, -0.01094)
(9.0, -0.01639)
(9.1, -0.06535)
(9.2, -0.06157)
(9.3, -0.06284)
(9.4, -0.08829)
(9.5, 0.03641)
(9.6, 0.08024)
(9.7, 0.0248)
(9.8, -0.10953)
(9.9, 0.06461)
(10.0, 0.70294)
(10.1, -0.124)
(10.2, 0.21093)
(10.3, -0.76242)
(10.4, -0.05024)
(10.5, -0.04574)
(10.6, -0.14953)
(10.7, -0.20662)
(10.8, 0.09245)
(10.9, 0.32297)
(11.0, -0.19064)
(11.1, 0.4242)
(11.2, 0.21721)
(11.3, 0.11475)
(11.4, 0.3867)
(11.5, -0.4155)
(11.6, -0.26505)
(11.7, -0.34011)
(11.8, 0.03459)
(11.9, -0.45412)
(12.0, -0.12679)
(12.1, 0.12828)
(12.2, 0.63919)
(12.3, 0.01572)
(12.4, 0.20803)
(12.5, 0.0576)
(12.6, 0.20173)
(12.7, 0.15765)
(12.8, -0.49931)
